Date,Total_Accidents
04-07-2015,334
05-07-2006,470
05-07-2007,397
05-07-2008,530
05-07-2009,460
05-07-2011,388
05-07-2012,242
05-07-2013,479
05-07-2015,421
06-07-2006,598
06-07-2008,464
06-07-2010,433
06-07-2011,476
06-07-2012,415
06-07-2013,495
06-07-2015,368
07-07-2006,539
07-07-2008,575
07-07-2010,414
07-07-2012,385
07-07-2014,420
08-07-2005,458
08-07-2006,481
08-07-2008,470
08-07-2010,415
08-07-2012,392
08-07-2014,393
09-07-2005,575
09-07-2006,624
09-07-2007,601
09-07-2009,421
09-07-2010,505
09-07-2012,559
09-07-2014,362
10-07-2005,548
10-07-2007,332
10-07-2009,543
10-07-2011,566
10-07-2013,394
10-07-2014,545
10-07-2015,446
11-07-2005,658
11-07-2007,481
11-07-2009,490
11-07-2011,480
11-07-2013,466
11-07-2015,393
12-07-2005,774
12-07-2007,599
12-07-2008,466
12-07-2009,550
12-07-2011,459
12-07-2013,393
12-07-2015,436
01-08-2005,439
01-08-2007,519
01-08-2009,425
01-08-2010,322
01-08-2011,329
01-08-2013,397
01-08-2014,413
02-08-2005,584
02-08-2007,408
02-08-2009,258
02-08-2011,581
02-08-2013,405
02-08-2014,369
02-08-2015,319
03-08-2005,466
03-08-2007,501
03-08-2008,426
03-08-2009,359
03-08-2011,449
03-08-2013,432
03-08-2015,316
04-08-2006,503
04-08-2008,477
04-08-2009,500
04-08-2011,592
04-08-2012,242
04-08-2013,244
04-08-2015,334
05-08-2006,577
05-08-2008,571
05-08-2010,402
05-08-2012,413
05-08-2015,418
06-08-2006,598
06-08-2008,423
06-08-2010,494
06-08-2012,392
06-08-2014,347
07-08-2005,570
07-08-2006,470
07-08-2007,400
07-08-2010,469
07-08-2012,333
07-08-2014,431
08-08-2005,543
08-08-2007,523
08-08-2009,485
08-08-2010,316
08-08-2011,387
08-08-2013,357
08-08-2014,445
09-08-2005,618
09-08-2007,447
09-08-2009,468
09-08-2011,435
09-08-2013,307
09-08-2015,362
10-08-2005,634
10-08-2007,444
10-08-2008,625
10-08-2009,525
10-08-2011,411
10-08-2013,492
10-08-2015,429
11-08-2005,658
11-08-2006,631
11-08-2007,524
11-08-2008,505
11-08-2009,321
11-08-2011,500
11-08-2012,457
11-08-2013,523
11-08-2015,298
12-08-2006,662
12-08-2008,527
12-08-2010,418
12-08-2012,388
12-08-2013,311
12-08-2014,540
12-08-2015,435
01-09-2005,357
01-09-2007,450
01-09-2008,532
01-09-2009,477
01-09-2011,564
01-09-2013,450
01-09-2015,459
02-09-2006,537
02-09-2007,517
02-09-2008,485
02-09-2009,487
02-09-2011,417
02-09-2012,442
02-09-2013,297
02-09-2015,442
03-09-2006,479
03-09-2008,366
03-09-2010,372
03-09-2012,364
03-09-2013,339
03-09-2015,336
04-09-2006,415
04-09-2008,455
04-09-2010,463
04-09-2012,310
04-09-2014,416
05-09-2005,517
05-09-2006,480
05-09-2008,547
05-09-2010,285
05-09-2012,391
05-09-2014,471
06-09-2005,521
06-09-2007,482
